Predator	Prey
Eleginops maclovinus	Nemertea
Eleginops maclovinus	Polyplacophora
Eleginops maclovinus	Siphonaria lessoni
Eleginops maclovinus	Trophon geversianus
Eleginops maclovinus	Ulva rigida
Eleginops maclovinus	Xymenopsis muriciformis
Eleginops maclovinus	Munida gregaria
Euphausiacea	Copepoda
Euphausiacea	Phytoplankton
Euphausiacea	Zooplankton
Eurhomalea exalbida	Fresh detritus
Eurhomalea exalbida	Phytoplankton
Eurypodius latreillii	Munida gregaria
Eurypodius latreillii	Fresh detritus
Exosphaeroma gigas	Fresh detritus
Exosphaeroma gigas	Fresh detritus
Fissurella oriens	Macrocystis pyrifera
Fissurella oriens	Macroalgae
Fissurella picta	Macrocystis pyrifera
Fissurella picta	Phytoplankton
Fissurella picta	Ulva rigida
Fusitriton magellanicus	Zygochlamys patagonica
Fusitriton magellanicus	Pseudechinus magellanicus
Fusitriton magellanicus	Loxechinus albus
Gaimardia trapesina	Phytoplankton
Gaimardia trapesina	Fresh detritus
Galaxias maculatus	Amphipoda
Galaxias maculatus	Copepoda
Galaxias maculatus	Zooplankton
Genypterus blacodes	Euphausiacea
Genypterus blacodes	Amphipoda
Genypterus blacodes	Merluccius hubbsi
Genypterus blacodes	Polychaeta
Genypterus blacodes	Patagonotothen longipes ramsayi
Genypterus blacodes	Salilota australis
Genypterus blacodes	Cottoperca gobio
Genypterus blacodes	Cephalopoda
Genypterus blacodes	Munida gregaria
Glabraster antarctica	Porifera
Glabraster antarctica	Fresh detritus
Glabraster antarctica	Phytoplankton
Glabraster antarctica	Zooplankton
Glabraster antarctica	Fresh detritus
Glabraster antarctica	Phytoplankton
Glabraster antarctica	Porifera
Glabraster antarctica	Porifera
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Fresh detritus
Gondogeneia antarctica	Phytoplankton
Halicarcinus planatus	Necromass
Halicarcinus planatus	Adenocystis utricularis
Halicarcinus planatus	Callophyllis pinnata
Halicarcinus planatus	Ceramium diaphanum
Halicarcinus planatus	Ulva sp.
Halicarcinus planatus	Fresh detritus
Halicarcinus planatus	Isopoda
Halicarcinus planatus	Macrocystis pyrifera
Halicarcinus planatus	Nothogenia fastigiata
Halicarcinus planatus	Scytothamnus fasciculatus
Halicarcinus planatus	Ulva rigida
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Gaimardia trapesina
Harpagifer bispinis	Gondogeneia antarctica
Harpagifer bispinis	Laevilitorina caliginosa
Harpagifer bispinis	Exosphaeroma gigas
Harpagifer bispinis	Anasterias antarctica
Harpagifer bispinis	Ulva sp.
Harpagifer bispinis	Halicarcinus planatus
Harpagifer bispinis	Isopoda
Harpagifer bispinis	Munida gregaria
Harpagifer bispinis	Nacella deaurata
Harpagifer bispinis	Nemertea
Harpagifer bispinis	Polyplacophora
Harpagifer bispinis	Siphonaria lessoni
Harpagifer bispinis	Trophon geversianus
Harpagifer bispinis	Ulva rigida
Harpagifer bispinis	Xymenopsis muriciformis
Hiatella arctica	Fresh detritus
Hiatella arctica	Phytoplankton
Isopoda	Adenocystis utricularis
Isopoda	Callophyllis pinnata
Isopoda	Ceramium diaphanum
Isopoda	Ulva sp.
Isopoda	Fresh detritus
Isopoda	Macrocystis pyrifera
Isopoda	Nothogenia fastigiata
Isopoda	Scytothamnus fasciculatus
Isopoda	Ulva rigida
Isopoda	Phytoplankton
Isopoda	Zooplankton
Jassa alonsoae	Macrocystis pyrifera
Laevilitorina caliginosa	Macroalgae
Lithodes santolla	Pseudechinus magellanicus
Lithodes santolla	Munida gregaria
Lithodes santolla	Munida gregaria
Lithodes santolla	Fresh detritus
Loxechinus albus	Macrocystis pyrifera
Loxechinus albus	Ulva rigida
Maldanidae	Aged detritus
Maldanidae	Nematoda
Maldanidae	Nematoda
Maldanidae	Polychaeta
Margarella violacea	Macrocystis pyrifera
Margarella violacea	Macroalgae
Membranipora isabelleana	Fresh detritus
Membranipora isabelleana	Phytoplankton
Merluccius hubbsi	Cephalopoda
Merluccius hubbsi	Euphausiacea
Merluccius hubbsi	Merluccius hubbsi
Merluccius hubbsi	Paranotothenia magellanica
Merluccius hubbsi	Patagonotothen brevícauda brevicauda
Merluccius hubbsi	Patagonotothen cornucola
Merluccius hubbsi	Patagonotothen longipes ramsayi
Merluccius hubbsi	Patagonotothen sima
Merluccius hubbsi	Patagonotothen tessellata
Merluccius hubbsi	Porifera
Merluccius hubbsi	Salilota australis
Merluccius hubbsi	Amphipoda
Merluccius hubbsi	Polychaeta
Merluccius hubbsi	Munida gregaria
Munida gregaria	Adenocystis utricularis
Munida gregaria	Callophyllis pinnata
Munida gregaria	Ceramium diaphanum
Munida gregaria	Ulva sp.
Munida gregaria	Fresh detritus
Munida gregaria	Isopoda
Munida gregaria	Macrocystis pyrifera
Munida gregaria	Nothogenia fastigiata
Munida gregaria	Patagonotothen tessellata
Munida gregaria	Scytothamnus fasciculatus
Munida gregaria	Ulva rigida
Munida gregaria	Munida gregaria
Munida gregaria	Polychaeta
Munida gregaria	Campylonotus vagans
Munida gregaria	Aged detritus
Munida gregaria	Fresh detritus
Munida gregaria	Phytoplankton
Munida gregaria	Zooplankton
Mytilus edulis	Fresh detritus
Mytilus edulis	Phytoplankton
Mytilus edulis	Zooplankton
Mytilus edulis	Fresh detritus
Mytilus edulis	Phytoplankton
Myxine glutinosa	Myxine glutinosa
Myxine glutinosa	Necromass
Myxine glutinosa	Polychaeta
Myxine glutinosa	Amphipoda
Myxine glutinosa	Nemertea
Nacella deaurata	Laevilitorina caliginosa
Nacella deaurata	Adenocystis utricularis
Nacella deaurata	Callophyllis pinnata
Nacella deaurata	Ceramium diaphanum
Nacella deaurata	Ulva sp.
Nacella deaurata	Fresh detritus
Nacella deaurata	Macrocystis pyrifera
Nacella deaurata	Nothogenia fastigiata
Nacella deaurata	Scytothamnus fasciculatus
Nacella deaurata	Ulva rigida
Nacella deaurata	Adenocystis utricularis
Nacella deaurata	Laevilitorina caliginosa
Nacella deaurata	Margarella violacea
Nacella deaurata	Mytilus edulis
Nacella deaurata	Phytoplankton
Nacella deaurata	Ulva rigida
Nacella deaurata	Zooplankton
Nacella magellanica	Laevilitorina caliginosa
Nacella magellanica	Adenocystis utricularis
Nacella magellanica	Ceramium diaphanum
Nacella magellanica	Laevilitorina caliginosa
Nacella magellanica	Macrocystis pyrifera
Nacella magellanica	Margarella violacea
Nacella magellanica	Mytilus edulis
Nacella magellanica	Nothogenia fastigiata
Nacella magellanica	Notochthamalus scabrosus
Nacella magellanica	Phytoplankton
Nacella magellanica	Ulva rigida
Nacella magellanica	Zooplankton
Nacella mytilina	Macrocystis pyrifera
Nacella mytilina	Adenocystis utricularis
Nacella mytilina	Ceramium diaphanum
Nacella mytilina	Laevilitorina caliginosa
Nacella mytilina	Margarella violacea
Nacella mytilina	Mytilus edulis
Nacella mytilina	Nothogenia fastigiata
Nacella mytilina	Phytoplankton
Nacella mytilina	Ulva rigida
Nacella mytilina	Zooplankton
Nematoda	Aged detritus
Nematoda	Fresh detritus
Nematoda	Phytoplankton
Nemertea	Fresh detritus
Nemertea	Necromass
Nemertea	Aulacomya atra
Nemertea	Halicarcinus planatus
Nemertea	Isopoda
Nemertea	Munida gregaria
Nemertea	Mytilus edulis
Nemertea	Nacella deaurata
Nemertea	Notochthamalus scabrosus
Nemertea	Perumytilus purpuratus
Nemertea	Polyplacophora
Nemertea	Siphonaria lessoni
Nereididae 	Macrocystis pyrifera
Nereididae 	Aged detritus
Nereididae 	Fresh detritus
Notobalanus flosculus	Fresh detritus
Notobalanus flosculus	Phytoplankton
Notochthamalus scabrosus	Fresh detritus
Notochthamalus scabrosus	Phytoplankton
Notochthamalus scabrosus	Zooplankton
Obelia sp.	Acartia tonsa 
Obelia sp.	Obelia sp.
Obelia sp.	Paracalanus parvus
Obelia sp.	Zooplankton
Oithona similis 	Phytoplankton
Oncaea curvata	Amphipoda
Oncaea curvata	Copepoda
Oncaea curvata	Fresh detritus
Oncaea curvata	Phytoplankton
Oncaea curvata	Salpidae
Oncaea curvata	Zooplankton
Onuphidae	Fresh detritus
Ophiophragmus chilensis	Fresh detritus
Ophiophragmus chilensis	Necromass
Orbiniidae	Aged detritus
Pagurus sp.	Fresh detritus
Pagurus sp.	Necromass
Pagurus sp.	Aged detritus
Pagurus sp.	Phytoplankton
Paracalanus parvus	Phytoplankton
Paralomis granulosa	Fresh detritus
Paralomis granulosa	Macroalgae
Paralomis granulosa	Aulacomya atra
Paralomis granulosa	Fissurella picta
Paralomis granulosa	Hiatella arctica
Paralomis granulosa	Margarella violacea
Paralomis granulosa	Membranipora isabelleana
Paralomis granulosa	Mytilus edulis
Paralomis granulosa	Pseudechinus magellanicus
Paralomis granulosa	Zooplankton
Paralomis granulosa	Munida gregaria
Paranotothenia magellanica	Amphipoda
Paranotothenia magellanica	Bryozoa
Paranotothenia magellanica	Copepoda
Paranotothenia magellanica	Isopoda
Paranotothenia magellanica	Polychaeta
Paranotothenia magellanica	Zooplankton
Paranotothenia magellanica	Exosphaeroma gigas
Paranotothenia magellanica	Munida gregaria
Paranotothenia magellanica	Gaimardia trapesina
Paranotothenia magellanica	Harpagifer bispinis
Paranotothenia magellanica	Laevilitorina caliginosa
Paranotothenia magellanica	Paranotothenia magellanica
Pareuthria fuscata	Fresh detritus
Pareuthria fuscata	Necromass
Patagonotothen brevícauda brevicauda	Amphipoda
Patagonotothen brevícauda brevicauda	Ascidiacea
Patagonotothen brevícauda brevicauda	Copepoda
Patagonotothen brevícauda brevicauda	Patagonotothen cornucola
Patagonotothen brevícauda brevicauda	Polychaeta
Patagonotothen brevícauda brevicauda	Zooplankton
Patagonotothen cornucola	Amphipoda
Patagonotothen cornucola	Copepoda
Patagonotothen cornucola	Polychaeta
Patagonotothen cornucola	Zooplankton
Patagonotothen cornucola	Exosphaeroma gigas
Patagonotothen longipes ramsayi	Zygochlamys patagonica
Patagonotothen longipes ramsayi	Amphipoda
Patagonotothen longipes ramsayi	Campylonotus vagans
Patagonotothen longipes ramsayi	Copepoda
Patagonotothen longipes ramsayi	Euphausiacea
Patagonotothen longipes ramsayi	Isopoda
Patagonotothen longipes ramsayi	Munida gregaria
Patagonotothen longipes ramsayi	Pagurus sp.
Patagonotothen longipes ramsayi	Polychaeta
Patagonotothen longipes ramsayi	Salpidae
Patagonotothen longipes ramsayi	Ophiuroidea
Patagonotothen longipes ramsayi	Fresh detritus
Patagonotothen longipes ramsayi	Cephalopoda
Patagonotothen longipes ramsayi	Ascidiacea
Patagonotothen longipes ramsayi	Zooplankton
Patagonotothen longipes ramsayi	Ctenophora
Patagonotothen longipes ramsayi	Mytilus edulis
Patagonotothen sima	Amphipoda
Patagonotothen sima	Copepoda
Patagonotothen sima	Munida gregaria
Patagonotothen sima	Polychaeta
Patagonotothen sima	Munida gregaria
Patagonotothen tessellata	Cephalopoda
Patagonotothen tessellata	Amphipoda
Patagonotothen tessellata	Polychaeta
Patagonotothen tessellata	Zygochlamys patagonica
Patagonotothen tessellata	Ophiuroidea
Patagonotothen tessellata	Exosphaeroma gigas
Patagonotothen tessellata	Munida gregaria
Patagonotothen tessellata	Copepoda
Patagonotothen tessellata	Anasterias antarctica
Patagonotothen tessellata	Ulva sp.
Patagonotothen tessellata	Halicarcinus planatus
Patagonotothen tessellata	Isopoda
Patagonotothen tessellata	Munida gregaria
Patagonotothen tessellata	Nacella deaurata
Patagonotothen tessellata	Nemertea
Patagonotothen tessellata	Polyplacophora
Patagonotothen tessellata	Siphonaria lessoni
Patagonotothen tessellata	Trophon geversianus
Patagonotothen tessellata	Ulva rigida
Patagonotothen tessellata	Xymenopsis muriciformis
Peltarion spinosulum	Fresh detritus
Peltarion spinosulum	Necromass
Peltarion spinosulum	Phytoplankton
Peltarion spinosulum	Zooplankton
Perumytilus purpuratus	Fresh detritus
Perumytilus purpuratus	Phytoplankton
Perumytilus purpuratus	Zooplankton
Perumytilus purpuratus	Fresh detritus
Perumytilus purpuratus	Phytoplankton
Plaxiphora sp.	Macrocystis pyrifera
Polychaeta	Fresh detritus
Polychaeta	Necromass
Polynoidae	Zooplankton
Polyplacophora	Adenocystis utricularis
Polyplacophora	Callophyllis pinnata
Polyplacophora	Ceramium diaphanum
Polyplacophora	Ulva sp.
Polyplacophora	Fresh detritus
Polyplacophora	Macrocystis pyrifera
Polyplacophora	Nothogenia fastigiata
Polyplacophora	Scytothamnus fasciculatus
Polyplacophora	Ulva rigida
Porifera	Fresh detritus
Porifera	Phytoplankton
Priapulida	Nematoda
Priapulida	Phytoplankton
Priapulida	Polychaeta
Pseudechinus magellanicus	Macrocystis pyrifera
Pseudechinus magellanicus	Amphipoda
Pseudechinus magellanicus	Ascidiacea
Pseudechinus magellanicus	Ceramium diaphanum
Pseudechinus magellanicus	Copepoda
Pseudechinus magellanicus	Exosphaeroma gigas
Pseudechinus magellanicus	Halicarcinus planatus
Pseudechinus magellanicus	Macrocystis pyrifera
Pseudechinus magellanicus	Membranipora isabelleana
Pseudechinus magellanicus	Perumytilus purpuratus
Pseudechinus magellanicus	Phytoplankton
Pseudechinus magellanicus	Porifera
Pseudechinus magellanicus	Serpulidae
Pseudechinus magellanicus	Ulva rigida
Pseudechinus magellanicus	Aulacomya atra
Pseudechinus magellanicus	Fresh detritus
Pseudechinus magellanicus	Mytilus edulis
Pseudechinus magellanicus	Serpulidae
Pseudechinus magellanicus	Zooplankton
Salilota australis	Amphipoda
Salilota australis	Euphausiacea
Salilota australis	Isopoda
Salilota australis	Patagonotothen brevícauda brevicauda
Salilota australis	Patagonotothen cornucola
Salilota australis	Patagonotothen longipes ramsayi
Salilota australis	Patagonotothen sima
Salilota australis	Patagonotothen tessellata
Salilota australis	Peltarion spinosulum
Salilota australis	Cephalopoda
Salilota australis	Amphipoda
Salilota australis	Munida gregaria
Salpidae	Aged detritus
Salpidae	Copepoda
Salpidae	Nereididae 
Salpidae	Phytoplankton
Salpidae	Zooplankton
Schroederichthys bivius	Amphipoda
Schroederichthys bivius	Bathyraja albomaculata
Schroederichthys bivius	Bathyraja brachyurops
Schroederichthys bivius	Campylonotus vagans
Schroederichthys bivius	Euphausiacea
Schroederichthys bivius	Eurypodius latreillii
Schroederichthys bivius	Isopoda
Schroederichthys bivius	Necromass
Schroederichthys bivius	Patagonotothen brevícauda brevicauda
Schroederichthys bivius	Patagonotothen cornucola
Schroederichthys bivius	Patagonotothen longipes ramsayi
Schroederichthys bivius	Patagonotothen sima
Schroederichthys bivius	Patagonotothen tessellata
Schroederichthys bivius	Peltarion spinosulum
Schroederichthys bivius	Polychaeta
Schroederichthys bivius	Priapulida
Schroederichthys bivius	Cephalopoda
Schroederichthys bivius	Amphipoda
Schroederichthys bivius	Champsocephalus esox 
Schroederichthys bivius	Isopoda
Schroederichthys bivius	Munida gregaria
Schroederichthys bivius	Polychaeta
Schroederichthys bivius	Priapulida
Schroederichthys bivius	Merluccius hubbsi
Schroederichthys bivius	Myxine glutinosa
Schroederichthys bivius	Munida gregaria
Serpulidae	Aged detritus
Serpulidae	Phytoplankton
Serpulidae	Fresh detritus
Siphonaria lessoni	Ceramium diaphanum
Siphonaria lessoni	Ulva sp.
Siphonaria lessoni	Diatomea
Siphonaria lessoni	Macrocystis pyrifera
Siphonaria lessoni	Phytoplankton
Siphonaria lessoni	Ulva rigida
Siphonaria lessoni	Adenocystis utricularis
Siphonaria lessoni	Callophyllis pinnata
Siphonaria lessoni	Ceramium diaphanum
Siphonaria lessoni	Ulva sp.
Siphonaria lessoni	Fresh detritus
Siphonaria lessoni	Macrocystis pyrifera
Siphonaria lessoni	Nothogenia fastigiata
Siphonaria lessoni	Scytothamnus fasciculatus
Siphonaria lessoni	Ulva rigida
Spionidae	Aged detritus
Spionidae	Phytoplankton
Squalus acanthias	Aurelia aurita
Squalus acanthias	Amphipoda
Squalus acanthias	Isopoda
Squalus acanthias	Necromass
Squalus acanthias	Patagonotothen longipes ramsayi
Squalus acanthias	Polychaeta
Squalus acanthias	Cephalopoda
Squalus acanthias	Ctenophora
Squalus acanthias	Salpidae
Squalus acanthias	Merluccius hubbsi
Squalus acanthias	Munida gregaria
Squalus acanthias	Myxine glutinosa
Squalus acanthias	Peltarion spinosulum
Tisbe sp.	Fresh detritus
Tisbe sp.	Phytoplankton
Trophon geversianus	Aulacomya atra
Trophon geversianus	Aulacomya atra
Trophon geversianus	Aulacomya atra
Trophon geversianus	Aulacomya atra
Trophon geversianus	Chthamalus sp.
Trophon geversianus	Eurhomalea exalbida
Trophon geversianus	Hiatella arctica
Trophon geversianus	Mytilus edulis
Trophon geversianus	Mytilus edulis
Trophon geversianus	Nacella deaurata
Trophon geversianus	Notochthamalus scabrosus
Trophon geversianus	Perumytilus purpuratus
