Predator	Prey
Laevilacunaria antarctica	Adenocystis utricularis
Laevilacunaria antarctica	Curdiea racovitzae
Laevilacunaria antarctica	Desmarestia menziesii
Laevilacunaria antarctica	Georgiella confluens 
Laevilacunaria antarctica	Gigartina skottsbergii
Laevilacunaria antarctica	Iridaea cordata
Laevilacunaria antarctica	Monostroma hariotii
Laevilacunaria antarctica	Palmaria decipiens
Laevilacunaria antarctica	Plocamium cartilagineum
Laternula elliptica	Adenocystis utricularis
Laternula elliptica	Aged detritus
Laternula elliptica	Curdiea racovitzae
Laternula elliptica	Desmarestia menziesii
Laternula elliptica	Georgiella confluens 
Laternula elliptica	Gigartina skottsbergii
Laternula elliptica	Iridaea cordata
Laternula elliptica	Monostroma hariotii
Laternula elliptica	Palmaria decipiens
Laternula elliptica	Phytoplankton
Laternula elliptica	Plocamium cartilagineum
Laternula elliptica	Zooplankton
Lepidonotothen nudifrons	Charcotia obesa
Lepidonotothen nudifrons	Cheirimedon femoratus
Lepidonotothen nudifrons	Copepoda
Lepidonotothen nudifrons	Polychaeta
Lepidonotothen nudifrons	Euphausia superba
Lepidonotothen nudifrons	Euphausia superba
Lepidonotothen nudifrons	Euphausia superba
Lepidonotothen nudifrons	Gammaridea
Lepidonotothen nudifrons	Gastropoda
Lepidonotothen nudifrons	Gitanopsis squamosa
Lepidonotothen nudifrons	Nereididae 
Lepidonotothen nudifrons	Pariphimedia integricauda
Lepidonotothen nudifrons	Polychaeta
Lepidonotothen nudifrons	Polyplacophora
Lepidonotothen nudifrons	Prostebbingia gracilis
Malacobelemnon daytoni	Phytoplankton
Malacobelemnon daytoni	Zooplankton
Maldanidae	Aged detritus
Maldanidae	Nematoda
Maldanidae	Nematoda
Maldanidae	Polychaeta
Margarella antarctica	Chalinidae
Margarella antarctica	Dendrilla antarctica
Margarella antarctica	Mycale acerata
Margarella antarctica	Rosella antartica
Margarella antarctica	Rossella sp.
Margarella antarctica	Stylocordyla borealis
Metridia gerlachei	Phytoplankton
Metridia gerlachei	Zooplankton
Mycale acerata	Benthic Diatomea
Mycale acerata	Fresh detritus
Mycale acerata	Phytoplankton
Mycale acerata	Zooplankton
Mysella sp.	Aged detritus
Mysella sp.	Benthic Diatomea
Mysella sp.	Phytoplankton
Mysida	Phytoplankton
Mysida	Zooplankton
Nacella concinna	Ascoseira mirabilis
Nacella concinna	Benthic Diatomea
Nacella concinna	Epiphytic Diatomea
Nacella concinna	Ulothrix sp.
Nematoda	Aged detritus
Nematoda	Benthic Diatomea
Nematoda	Fresh detritus
Nematoda	Phytoplankton
Nemertea	Necromass
Neobuccinum eatoni	Aequiyoldia eightsii
Neobuccinum eatoni	Laternula elliptica
Neobuccinum eatoni	Necromass
Nereididae 	Desmarestia menziesii
Nereididae 	Geminocarpus geminatus
Nereididae 	Georgiella confluens 
Nereididae 	Gigartina skottsbergii
Nereididae 	Iridaea cordata
Nereididae 	Phaeurus antarcticus 
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Aequiyoldia eightsii
Notothenia coriiceps	Aglaophamus trissophyllus
Notothenia coriiceps	Aged detritus
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Barrukia cristata
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Callophyllis atrosanguinea 
Notothenia coriiceps	Charcotia obesa
Notothenia coriiceps	Charcotia obesa
Notothenia coriiceps	Cheirimedon femoratus
Notothenia coriiceps	Cheirimedon femoratus
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Cumacea
Notothenia coriiceps	Curdiea racovitzae
Notothenia coriiceps	Curdiea racovitzae
Notothenia coriiceps	Dacrydium sp.
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Doris kerguelensis
Notothenia coriiceps	Eatoniella sp.
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Gammaridea
Notothenia coriiceps	Georgiella confluens 
Notothenia coriiceps	Gigartina skottsbergii
Notothenia coriiceps	Gigartina skottsbergii
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Hemiarthrum setulosum
Notothenia coriiceps	Hippomedon kergueleni
Notothenia coriiceps	Hyperiidea
Notothenia coriiceps	Hyperiidea
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Lambia antarctica 
Notothenia coriiceps	Lambia antarctica 
Notothenia coriiceps	Laternula elliptica
Notothenia coriiceps	Maldanidae
Notothenia coriiceps	Margarella antarctica
Notothenia coriiceps	Monostroma hariotii
Notothenia coriiceps	Myriogramme manginii
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Necromass
Notothenia coriiceps	Nemertea
Notothenia coriiceps	Nemertea
Notothenia coriiceps	Neobuccinum eatoni
Notothenia coriiceps	Nereididae 
Notothenia coriiceps	Nereididae 
Notothenia coriiceps	Nereididae 
Notothenia coriiceps	Neuroglossum delesseriae
Notothenia coriiceps	Octopoda
Notothenia coriiceps	Octopoda
Notothenia coriiceps	Ophaeliidae
Notothenia coriiceps	Ophionotus victoriae
Notothenia coriiceps	Oradarea bidentata
Notothenia coriiceps	Orbiniidae
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Pantoneura plocamioides 
Notothenia coriiceps	Pantoneura plocamioides 
Notothenia coriiceps	Paradexamine sp.
Notothenia coriiceps	Paradexamine sp.
Notothenia coriiceps	Pariphimedia integricauda
Notothenia coriiceps	Pariphimedia integricauda
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Picconiella plumosa 
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polyplacophora
Notothenia coriiceps	Porphyra plocamiestris
Notothenia coriiceps	Priapulida
Notothenia coriiceps	Prostebbingia gracilis
Notothenia coriiceps	Prostebbingia sp.
Notothenia coriiceps	Prostebbingia sp.
Notothenia coriiceps	Pseudorchomene plebs
Notothenia coriiceps	Pyropia plocamiestris 
Notothenia coriiceps	Salpidae
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Spionidae
Notothenia coriiceps	Cephalopoda
Notothenia coriiceps	Cephalopoda
Notothenia coriiceps	Tanaidacea
Notothenia coriiceps	Seraphsidae
Notothenia coriiceps	Trematocarpus antarcticus
Notothenia coriiceps	Urospora penicilliformis
Notothenia coriiceps	Urospora penicilliformis
Notothenia coriiceps	Mysella sp.
Notothenia rossii	Aged detritus
Notothenia rossii	Bovallia gigantea
Notothenia rossii	Charcotia obesa
Notothenia rossii	Cheirimedon femoratus
Notothenia rossii	Doris kerguelensis
Notothenia rossii	Euphausia superba
Notothenia rossii	Euphausia superba
Notothenia rossii	Euphausia superba
Notothenia rossii	Euphausia superba
Notothenia rossii	Eurymera monticulosa
Notothenia rossii	Hippomedon kergueleni
Notothenia rossii	Hyperiidea
Notothenia rossii	Nacella concinna
Notothenia rossii	Nereididae 
Notothenia rossii	Nereididae 
Notothenia rossii	Nereididae 
Notothenia rossii	Octopoda
Notothenia rossii	Prostebbingia sp.
Notothenia rossii	Salpidae
Notothenia rossii	Cephalopoda
Octopoda	Glyptonotus antarcticus
Odontaster meridionalis	Chalinidae
Odontaster meridionalis	Fresh detritus
Odontaster meridionalis	Mycale acerata
Odontaster meridionalis	Neobuccinum eatoni
Odontaster meridionalis	Rosella antartica
Odontaster meridionalis	Rossella sp.
Odontaster meridionalis	Stylocordyla borealis
Odontaster validus	Adenocystis utricularis
Odontaster validus	Adenocystis utricularis
Odontaster validus	Aequiyoldia eightsii
Odontaster validus	Ascoseira mirabilis
Odontaster validus	Benthic Diatomea
Odontaster validus	Callophyllis atrosanguinea 
Odontaster validus	Camptoplites sp.
Odontaster validus	Cellarinella sp.
Odontaster validus	Chalinidae
Odontaster validus	Chalinidae
Odontaster validus	Curdiea racovitzae
Odontaster validus	Desmarestia anceps
Odontaster validus	Desmarestia anceps
Odontaster validus	Desmarestia antarctica
Odontaster validus	Desmarestia menziesii
Odontaster validus	Desmarestia menziesii
Odontaster validus	Doris kerguelensis
Odontaster validus	Fresh detritus
Odontaster validus	Glyptonotus antarcticus
Odontaster validus	Iridaea cordata
Odontaster validus	Lambia antarctica 
Odontaster validus	Laternula elliptica
Odontaster validus	Laternula elliptica
Odontaster validus	Mycale acerata
Odontaster validus	Mycale acerata
Odontaster validus	Mycale acerata
Odontaster validus	Myriogramme manginii
Odontaster validus	Necromass
Odontaster validus	Necromass
Odontaster validus	Neobuccinum eatoni
Odontaster validus	Nereididae 
Odontaster validus	Paraserolis polita
Odontaster validus	Phaeurus antarcticus 
Odontaster validus	Plocamium cartilagineum
Odontaster validus	Rosella antartica
Odontaster validus	Rossella sp.
Odontaster validus	Sterechinus neumayeri
Odontaster validus	Stylocordyla borealis
Odontaster validus	Trematocarpus antarcticus
Oithona similis	Phytoplankton
Oligochaeta	Phytoplankton
Oligochaeta	Zooplankton
Ophaeliidae	Aged detritus
Ophaeliidae	Benthic Diatomea
Ophaeliidae	Fresh detritus
Ophaeliidae	Phytoplankton
Ophionotus victoriae	Aequiyoldia eightsii
Ophionotus victoriae	Aglaophamus trissophyllus
Ophionotus victoriae	Aged detritus
Ophionotus victoriae	Ascidiacea
Ophionotus victoriae	Benthic Diatomea
Ophionotus victoriae	Camptoplites sp.
Ophionotus victoriae	Cellarinella sp.
Ophionotus victoriae	Chalinidae
Ophionotus victoriae	Charcotia obesa
Ophionotus victoriae	Cheirimedon femoratus
Ophionotus victoriae	Copepoda
Ophionotus victoriae	Cumacea
Ophionotus victoriae	Euphausia superba
Ophionotus victoriae	Euphausia superba
Ophionotus victoriae	Eurymera monticulosa
Ophionotus victoriae	Fresh detritus
Ophionotus victoriae	Gammaridea
Ophionotus victoriae	Gitanopsis squamosa
Ophionotus victoriae	Gondogeneia antarctica
Ophionotus victoriae	Hippomedon kergueleni
Ophionotus victoriae	Hydrozoa
Ophionotus victoriae	Laternula elliptica
Ophionotus victoriae	Mycale acerata
Ophionotus victoriae	Mysida
Ophionotus victoriae	Necromass
Ophionotus victoriae	Necromass
Ophionotus victoriae	Nematoda
Ophionotus victoriae	Nemertea
Ophionotus victoriae	Neobuccinum eatoni
Ophionotus victoriae	Nereididae 
Ophionotus victoriae	Ophionotus victoriae
Ophionotus victoriae	Oradarea bidentata
Ophionotus victoriae	Ostracoda
Ophionotus victoriae	Paradexamine sp.
Ophionotus victoriae	Pariphimedia integricauda
Ophionotus victoriae	Polychaeta
Ophionotus victoriae	Porifera
Ophionotus victoriae	Prostebbingia sp.
Ophionotus victoriae	Pseudorchomene plebs
Ophionotus victoriae	Rosella antartica
Ophionotus victoriae	Rossella sp.
Ophionotus victoriae	Cephalopoda
Ophionotus victoriae	Sterechinus neumayeri
Ophionotus victoriae	Stylocordyla borealis
Ophionotus victoriae	Tanaidacea
Oradarea bidentata	Palmaria decipiens
Orbiniidae	Aged detritus
Ostracoda	Aged detritus
Ostracoda	Benthic Diatomea
Ostracoda	Fresh detritus
Ostracoda	Phytoplankton
Ostracoda	Zooplankton
Parachaenichthys charcoti	Euphausia superba
Parachaenichthys charcoti	Euphausia superba
Parachaenichthys charcoti	Euphausia superba
Parachaenichthys charcoti	Mysida
Parachaenichthys charcoti	Priapulida
Paradexamine sp.	Benthic Diatomea
Paradexamine sp.	Fresh detritus
Paradexamine sp.	Necromass
Paraserolis polita	Benthic Copepoda
Paraserolis polita	Cirratulidae
Paraserolis polita	Cumacea
Paraserolis polita	Maldanidae
Paraserolis polita	Nematoda
Paraserolis polita	Ophaeliidae
Paraserolis polita	Orbiniidae
Paraserolis polita	Polychaeta
Paraserolis polita	Spionidae
Parborlasia corrugatus	Bovallia gigantea
Parborlasia corrugatus	Chalinidae
Parborlasia corrugatus	Glyptonotus antarcticus
Parborlasia corrugatus	Mycale acerata
Parborlasia corrugatus	Nacella concinna
Parborlasia corrugatus	Necromass
Parborlasia corrugatus	Necromass
Parborlasia corrugatus	Rosella antartica
Parborlasia corrugatus	Rossella sp.
Parborlasia corrugatus	Serolis sp.
Parborlasia corrugatus	Stylocordyla borealis
Pariphimedia integricauda	Necromass
Perknaster aurorae	Mycale acerata
Perknaster aurorae	Stylocordyla borealis
Perknaster fuscus antarticus	Chalinidae
Perknaster fuscus antarticus	Mycale acerata
Perknaster fuscus antarticus	Mycale acerata
Perknaster fuscus antarticus	Mycale acerata
Perknaster fuscus antarticus	Necromass
Perknaster fuscus antarticus	Necromass
Perknaster fuscus antarticus	Neobuccinum eatoni
Perknaster fuscus antarticus	Stylocordyla borealis
Plakarthrium punctatissimum	Ascoseira mirabilis
Plakarthrium punctatissimum	Benthic Diatomea
Plakarthrium punctatissimum	Curdiea racovitzae
Plakarthrium punctatissimum	Epiphytic Diatomea
Plakarthrium punctatissimum	Fresh detritus
Polychaeta	Fresh detritus
Polychaeta	Nematoda
Polyplacophora	Fresh detritus
Porifera	Fresh detritus
Porifera	Phytoplankton
Priapulida	Benthic Diatomea
Priapulida	Nematoda
Priapulida	Nereididae 
Prostebbingia gracilis	Benthic Diatomea
Prostebbingia gracilis	Desmarestia anceps
Prostebbingia gracilis	Desmarestia antarctica
Prostebbingia gracilis	Desmarestia menziesii
Prostebbingia gracilis	Epiphytic Diatomea
Prostebbingia gracilis	Gigartina skottsbergii
Prostebbingia gracilis	Iridaea cordata
Prostebbingia gracilis	Myriogramme manginii
Prostebbingia gracilis	Palmaria decipiens
Prostebbingia gracilis	Palmaria decipiens
Prostebbingia gracilis	Plocamium cartilagineum
Prostebbingia sp.	Benthic Diatomea
Prostebbingia sp.	Epiphytic Diatomea
Prostebbingia sp.	Palmaria decipiens
Pseudorchomene plebs	Necromass
Rosella antartica	Benthic Diatomea
Rosella antartica	Fresh detritus
Rosella antartica	Phytoplankton
Rosella antartica	Zooplankton
Rossella sp.	Benthic Diatomea
Rossella sp.	Fresh detritus
Rossella sp.	Phytoplankton
Rossella sp.	Zooplankton
Salpidae	Aged detritus
Salpidae	Copepoda
Salpidae	Nereididae 
Salpidae	Oligochaeta
Salpidae	Phytoplankton
Salpidae	Phytoplankton
Salpidae	Zooplankton
Serolis sp.	Necromass
Spionidae	Aged detritus
Spionidae	Benthic Diatomea
Spionidae	Phytoplankton
Cephalopoda	Euphausia superba
Sterechinus neumayeri	Bovallia gigantea
Sterechinus neumayeri	Camptoplites sp.
Sterechinus neumayeri	Cellarinella sp.
Sterechinus neumayeri	Chalinidae
Sterechinus neumayeri	Charcotia obesa
Sterechinus neumayeri	Eurymera monticulosa
Sterechinus neumayeri	Gondogeneia antarctica
Sterechinus neumayeri	Hydrozoa
Sterechinus neumayeri	Mycale acerata
Sterechinus neumayeri	Oradarea bidentata
Sterechinus neumayeri	Paradexamine sp.
Sterechinus neumayeri	Polychaeta
Sterechinus neumayeri	Prostebbingia sp.
Sterechinus neumayeri	Rosella antartica
Sterechinus neumayeri	Rossella sp.
Sterechinus neumayeri	Stylocordyla borealis
Stylocordyla borealis	Benthic Diatomea
Stylocordyla borealis	Fresh detritus
Stylocordyla borealis	Phytoplankton
Stylocordyla borealis	Zooplankton
Tanaidacea	Aged detritus
Tanaidacea	Benthic Diatomea
Tanaidacea	Phytoplankton
Seraphsidae	Aged detritus
Trematomus bernacchii	Aglaophamus trissophyllus
Trematomus bernacchii	Ascidiacea
Trematomus bernacchii	Barrukia cristata
Trematomus bernacchii	Bovallia gigantea
Trematomus bernacchii	Bovallia gigantea
Trematomus bernacchii	Copepoda
Trematomus bernacchii	Copepoda
Trematomus bernacchii	Doris kerguelensis
Trematomus bernacchii	Eatoniella sp.
Trematomus bernacchii	Euphausia superba
Trematomus bernacchii	Euphausia superba
Trematomus bernacchii	Gammaridea
Trematomus bernacchii	Glyptonotus antarcticus
Trematomus bernacchii	Glyptonotus antarcticus
Trematomus bernacchii	Gondogeneia antarctica
Trematomus bernacchii	Gondogeneia antarctica
Trematomus bernacchii	Hyperiidea
Trematomus bernacchii	Margarella antarctica
Trematomus bernacchii	Mysida
Trematomus bernacchii	Nacella concinna
Trematomus bernacchii	Nemertea
Trematomus bernacchii	Neobuccinum eatoni
Trematomus bernacchii	Nereididae 
Trematomus bernacchii	Oradarea bidentata
Trematomus bernacchii	Priapulida
Trematomus bernacchii	Salpidae
Trematomus newnesi	Ascidiacea
Trematomus newnesi	Bovallia gigantea
Trematomus newnesi	Calanoides acutus
Trematomus newnesi	Cheirimedon femoratus
Trematomus newnesi	Copepoda
Trematomus newnesi	Copepoda
Trematomus newnesi	Doris kerguelensis
Trematomus newnesi	Eatoniella sp.
Trematomus newnesi	Euphausia superba
Trematomus newnesi	Euphausia superba
Trematomus newnesi	Euphausia superba
Trematomus newnesi	Gammaridea
Trematomus newnesi	Gondogeneia antarctica
Trematomus newnesi	Hyperiidea
Trematomus newnesi	Hyperiidea
Trematomus newnesi	Hyperiidea
Trematomus newnesi	Hyperiidea
Trematomus newnesi	Margarella antarctica
Trematomus newnesi	Nacella concinna
Trematomus newnesi	Neobuccinum eatoni
Trematomus newnesi	Paradexamine sp.
Trematomus newnesi	Pariphimedia integricauda
Trematomus newnesi	Prostebbingia gracilis
Trematomus newnesi	Salpidae
Urticinopsis antarctica	Diplasterias brucei
Urticinopsis antarctica	Eatoniella sp.
Urticinopsis antarctica	Laevilacunaria antarctica
Urticinopsis antarctica	Odontaster meridionalis
Urticinopsis antarctica	Odontaster validus
Urticinopsis antarctica	Ophionotus victoriae
Urticinopsis antarctica	Perknaster fuscus antarticus
Urticinopsis antarctica	Sterechinus neumayeri
Urticinopsis antarctica	Trematomus bernacchii
Urticinopsis antarctica	Trematomus newnesi
Zooplankton	Phytoplankton
