Predator	Prey
Cottoperca gobio	Patagonotothen ramsayi
Cottoperca gobio	Patagonotothen sima
Cottoperca gobio	Patagonotothen sima
Cottoperca gobio	Patagonotothen tessellata
Cottoperca gobio	Patagonotothen tessellata
Cottoperca gobio	Patagonotothen tessellata
Cottoperca gobio	Peltarion spinosulum
Cottoperca gobio	Polychaeta
Cottoperca gobio	Salilota australis
Cottoperca gobio	Sprattus fuegensis
Crepipatella dilatata	Macroalgae
Crepipatella dilatata	Macrocystis pyrifera
Crepipatella dilatata	Macrocystis pyrifera
Crepipatella dilatata	Phytoplankton
Crepipatella dilatata	Zooplankton
Crepipatella dilatata	Diatomea
Crepipatella dilatata	Fresh detritus
Crustacea	Phytoplankton
Crustacea	Diatomea
Crustacea	Fresh detritus
Ctenophora	Diatomea
Cumacea	Aged detritus
Cumacea	Aged detritus
Cumacea	Aged detritus
Cumacea	Diatomea
Dissostichus eleginoides	Amphipoda
Dissostichus eleginoides	Amphipoda
Dissostichus eleginoides	Bathyraja albomaculata
Dissostichus eleginoides	Bryozoa
Dissostichus eleginoides	Bryozoa
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Copepoda
Dissostichus eleginoides	Cottoperca gobio
Dissostichus eleginoides	Cumacea
Dissostichus eleginoides	Dissostichus eleginoides
Dissostichus eleginoides	Echiura
Dissostichus eleginoides	Euphausiacea
Dissostichus eleginoides	Gastropoda
Dissostichus eleginoides	Genypterus blacodes
Dissostichus eleginoides	Holothuroidea
Dissostichus eleginoides	Isopoda
Dissostichus eleginoides	Isopoda
Dissostichus eleginoides	Macruronus magellanicus
Dissostichus eleginoides	Macruronus magellanicus
Dissostichus eleginoides	Necromass
Dissostichus eleginoides	Necromass
Dissostichus eleginoides	Ophiuroidea
Dissostichus eleginoides	Paralomis granulosa
Dissostichus eleginoides	Patagonotothen brevicauda brevicauda
Dissostichus eleginoides	Patagonotothen ramsayi
Dissostichus eleginoides	Patagonotothen ramsayi
Dissostichus eleginoides	Polychaeta
Dissostichus eleginoides	Salilota australis
Dissostichus eleginoides	Salilota australis
Dissostichus eleginoides	Sprattus fuegensis
Dissostichus eleginoides	Sprattus fuegensis
Dissostichus eleginoides	Cephalopoda
Echiura	Fresh detritus
Echiura	Fresh detritus
Eleginops maclovinus	Adenocystis utricularis
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Anasterias antarctica
Eleginops maclovinus	Bivalvia
Eleginops maclovinus	Callophyllis pinnata
Eleginops maclovinus	Ceramium diaphanum
Eleginops maclovinus	Cladophora sp.
Eleginops maclovinus	Copepoda
Eleginops maclovinus	Crustacea
Eleginops maclovinus	Cumacea
Eleginops maclovinus	Delesseriaceae 
Eleginops maclovinus	Echiura
Eleginops maclovinus	Ectocarpus sp.
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Gammaridea
Eleginops maclovinus	Gammaridea
Eleginops maclovinus	Halicarcinus planatus 
Eleginops maclovinus	Halicarcinus planatus 
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Macroalgae
Eleginops maclovinus	Macrocystis pyrifera
Eleginops maclovinus	Munida gregaria
Eleginops maclovinus	Munida gregaria
Eleginops maclovinus	Nacella deaurata
Eleginops maclovinus	Nereididae
Eleginops maclovinus	Nothogenia fastigiata
Eleginops maclovinus	Notochthamalus scabrosus 
Eleginops maclovinus	Ophiuroidea
Eleginops maclovinus	Ostracoda
Eleginops maclovinus	Ostracoda
Eleginops maclovinus	Patagonotothen cornucola
Eleginops maclovinus	Peltarion spinosulum
Eleginops maclovinus	Polychaeta
Eleginops maclovinus	Polychaeta
Eleginops maclovinus	Polychaeta
Eleginops maclovinus	Polychaeta
Eleginops maclovinus	Polynoidae
Eleginops maclovinus	Polyplacophora
Eleginops maclovinus	Priapulida
Eleginops maclovinus	Rhizoclonium sp.
Eleginops maclovinus	Scytothamus fasciculatus
Eleginops maclovinus	Siphonaria lessonii
Eleginops maclovinus	Tanaidacea
Eleginops maclovinus	Terebellidae
Eleginops maclovinus	Trophon geversianus
Eleginops maclovinus	Ulva rigida
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Xymenopsis muriciformis 
Eleginops maclovinus	Zooplankton
Eleginops maclovinus	Zooplankton
Eleginops maclovinus	Nemertea
Eleginops maclovinus	Nemertea
Euphausiacea	Copepoda
Euphausiacea	Copepoda
Euphausiacea	Copepoda
Euphausiacea	Copepoda
Euphausiacea	Euphausiacea
Euphausiacea	Fresh detritus
Euphausiacea	Ostracoda
Euphausiacea	Ostracoda
