Predator	Prey
Notothenia coriiceps	Cheirimedon femoratus
Notothenia coriiceps	Cheirimedon femoratus
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Copepoda
Notothenia coriiceps	Curdiea racovitzae
Notothenia coriiceps	Curdiea racovitzae
Notothenia coriiceps	Desmarestia anceps
Notothenia coriiceps	Desmarestia anceps
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia antarctica
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Desmarestia menziesii
Notothenia coriiceps	Djerboa furcipes
Notothenia coriiceps	Eatoniella sp.
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Euphausia superba
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Eurymera monticulosa
Notothenia coriiceps	Gammaridea
Notothenia coriiceps	Gammaridea
Notothenia coriiceps	Gammaridea
Notothenia coriiceps	Gastropoda
Notothenia coriiceps	Gastropoda
Notothenia coriiceps	Gastropoda
Notothenia coriiceps	Gastropoda
Notothenia coriiceps	Gastropoda
Notothenia coriiceps	Gastropoda
Notothenia coriiceps	Georgiella confluens 
Notothenia coriiceps	Georgiella confluens 
Notothenia coriiceps	Gigartina skottsbergii
Notothenia coriiceps	Gigartina skottsbergii
Notothenia coriiceps	Gigartina skottsbergii
Notothenia coriiceps	Gitanopsis squamosa
Notothenia coriiceps	Gitanopsis squamosa
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Glyptonotus antarcticus
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Gondogeneia antarctica
