Predador	Presa
Cosmasterias lurida	Necromass
Cosmasterias lurida	Notobalanus flosculus
Cosmasterias lurida	Pagurus forceps
Cosmasterias lurida	Pagurus sp.
Cosmasterias lurida	Paralomis granulosa
Cosmasterias lurida	Pareuthria fuscata
Cosmasterias lurida	Pareuthria fuscata
Cosmasterias lurida	Plaxiphora sp.
Cosmasterias lurida	Priapulida
Cosmasterias lurida	Pseudechinus magellanicus
Cosmasterias lurida	Pseudechinus magellanicus
Cosmasterias lurida	Serpulidae
Cosmasterias lurida	Serpulidae
Cosmasterias lurida	Trophon geversianus
Cosmasterias lurida	Trophon geversianus
Cottoperca gobio	Actinaria
Cottoperca gobio	Amphipoda
Cottoperca gobio	Bathyraja albomaculata
Cottoperca gobio	Bathyraja brachyurops
Cottoperca gobio	Cottoperca gobio
Cottoperca gobio	Euphausiacea
Cottoperca gobio	Halicarcinus planatus
Cottoperca gobio	Isopoda
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Patagonotothen brevícauda brevicauda
Cottoperca gobio	Patagonotothen cornucola
Cottoperca gobio	Patagonotothen cornucola
Cottoperca gobio	Patagonotothen cornucola
Cottoperca gobio	Patagonotothen longipes ramsayi
Cottoperca gobio	Patagonotothen longipes ramsayi
Cottoperca gobio	Patagonotothen sima
Cottoperca gobio	Patagonotothen tessellata
Cottoperca gobio	Patagonotothen tessellata
Cottoperca gobio	Peltarion spinosulum
Cottoperca gobio	Polychaeta
Cottoperca gobio	Salilota australis
Cottoperca gobio	Salpidae
Cottoperca gobio	Sprattus fuegensis
Crepipatella dilatata	Fresh detritus
Crepipatella dilatata	Macrocystis pyrifera
Crepipatella dilatata	Phytoplankton
Ctenophora	Acartia tonsa 
Ctenophora	Amphipoda
Ctenophora	Calanus australis
Ctenophora	Ctenophora
Ctenophora	Euphausiacea
Ctenophora	Oithona similis 
Ctenophora	Oncaea curvata
Ctenophora	Paracalanus parvus
Ctenophora	Phytoplankton
Ctenophora	Salpidae
Ctenophora	Zooplankton
Dissostichus eleginoides	Amphipoda
Dissostichus eleginoides	Euphausiacea
Dissostichus eleginoides	Isopoda
Dissostichus eleginoides	Paralomis granulosa
Dissostichus eleginoides	Patagonotothen brevícauda brevicauda
Drepanopus forcipatus	Phytoplankton
Drepanopus forcipatus	Zooplankton
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Anasterias antarctica
Eleginops maclovinus	Austroregia huxleyana
Eleginops maclovinus	Ceramium diaphanum
Eleginops maclovinus	Enteromorpha sp.
Eleginops maclovinus	Enteromorpha sp.
Eleginops maclovinus	Halicarcinus planatus
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Jassa alonsoae
Eleginops maclovinus	Maldanidae
Eleginops maclovinus	Munida gregaria
Eleginops maclovinus	Munida gregaria
Eleginops maclovinus	Nacella deaurata
Eleginops maclovinus	Nemertea
Eleginops maclovinus	Nemertea
Eleginops maclovinus	Onuphidae
Eleginops maclovinus	Orbiniidae
Eleginops maclovinus	Polychaeta
Eleginops maclovinus	Polynoidae
Eleginops maclovinus	Polyplacophora
Eleginops maclovinus	Priapulida
Eleginops maclovinus	Siphonaria lessoni
Eleginops maclovinus	Spionidae
Eleginops maclovinus	Trophon geversianus
Eleginops maclovinus	Ulva rigida
Eleginops maclovinus	Xymenopsis muriciformis
Euphausiacea	Copepoda
Euphausiacea	Phytoplankton
Euphausiacea	Zooplankton
Eurhomalea exalbida	Fresh detritus
Eurhomalea exalbida	Phytoplankton
Eurypodius latreillii	Munida gregaria
Exosphaeroma gigas	Fresh detritus
Exosphaeroma gigas	Fresh detritus
Fissurella oriens	Macroalgae
Fissurella oriens	Macrocystis pyrifera
Fissurella picta	Macrocystis pyrifera
Fissurella picta	Phytoplankton
Fissurella picta	Ulva rigida
Fusitriton magellanicus	Loxechinus albus
Fusitriton magellanicus	Pseudechinus magellanicus
Gaimardia trapesina	Fresh detritus
Gaimardia trapesina	Phytoplankton
Galaxias maculatus	Amphipoda
Galaxias maculatus	Copepoda
Galaxias maculatus	Nematoda
Galaxias maculatus	Polychaeta
Galaxias maculatus	Zooplankton
Genypterus blacodes	Munida gregaria
Glabraster antarctica	Fresh detritus
Glabraster antarctica	Fresh detritus
Glabraster antarctica	Phytoplankton
Glabraster antarctica	Phytoplankton
Glabraster antarctica	Porifera
Glabraster antarctica	Porifera
Glabraster antarctica	Porifera
Glabraster antarctica	Zooplankton
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Fresh detritus
Gondogeneia antarctica	Phytoplankton
Halicarcinus planatus	Adenocystis utricularis
Halicarcinus planatus	Callophyllis pinnata
Halicarcinus planatus	Ceramium diaphanum
Halicarcinus planatus	Enteromorpha sp.
Halicarcinus planatus	Fresh detritus
Halicarcinus planatus	Isopoda
Halicarcinus planatus	Macrocystis pyrifera
Halicarcinus planatus	Necromass
Halicarcinus planatus	Nothogenia fastigiata
Halicarcinus planatus	Scytothamnus fasciculatus
Halicarcinus planatus	Ulva rigida
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Anasterias antarctica
Harpagifer bispinis	Enteromorpha sp.
Harpagifer bispinis	Exosphaeroma gigas
Harpagifer bispinis	Gaimardia trapesina
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Gondogeneia antarctica
Harpagifer bispinis	Halicarcinus planatus
Harpagifer bispinis	Isopoda
Harpagifer bispinis	Laevilitorina caliginosa
Harpagifer bispinis	Munida gregaria
Harpagifer bispinis	Nacella deaurata
Harpagifer bispinis	Nemertea
Harpagifer bispinis	Polyplacophora
Harpagifer bispinis	Siphonaria lessoni
Harpagifer bispinis	Trophon geversianus
Harpagifer bispinis	Ulva rigida
Harpagifer bispinis	Xymenopsis muriciformis
Hiatella arctica	Fresh detritus
Hiatella arctica	Phytoplankton
Isopoda	Adenocystis utricularis
Isopoda	Callophyllis pinnata
Isopoda	Ceramium diaphanum
Isopoda	Enteromorpha sp.
Isopoda	Fresh detritus
Isopoda	Macrocystis pyrifera
Isopoda	Nothogenia fastigiata
Isopoda	Scytothamnus fasciculatus
Isopoda	Ulva rigida
Jassa alonsoae	Macrocystis pyrifera
Laevilitorina caliginosa	Macroalgae
Lithodes santolla	Fresh detritus
Lithodes santolla	Munida gregaria
Lithodes santolla	Munida gregaria
Lithodes santolla	Pseudechinus magellanicus
Loxechinus albus	Macrocystis pyrifera
Loxechinus albus	Ulva rigida
Macruronus magellanicus	Amphipoda
Macruronus magellanicus	Euphausiacea
Macruronus magellanicus	Munida gregaria
Macruronus magellanicus	Salpidae
Macruronus magellanicus	Sprattus fuegensis
Macruronus magellanicus	Zooplankton
Maldanidae	Aged detritus
Maldanidae	Nematoda
Maldanidae	Nematoda
Maldanidae	Polychaeta
Margarella violacea	Macroalgae
Margarella violacea	Macrocystis pyrifera
Membranipora isabelleana	Fresh detritus
Membranipora isabelleana	Phytoplankton
Merluccius hubbsi	Euphausiacea
Merluccius hubbsi	Macruronus magellanicus
Merluccius hubbsi	Merluccius hubbsi
Merluccius hubbsi	Munida gregaria
Merluccius hubbsi	Paranotothenia magellanica
Merluccius hubbsi	Patagonotothen brevícauda brevicauda
Merluccius hubbsi	Patagonotothen cornucola
Merluccius hubbsi	Patagonotothen longipes ramsayi
Merluccius hubbsi	Patagonotothen sima
Merluccius hubbsi	Patagonotothen tessellata
Merluccius hubbsi	Porifera
Merluccius hubbsi	Salilota australis
Merluccius hubbsi	Sprattus fuegensis
Merluccius hubbsi	Stromateus brasiliensis
Munida gregaria	Adenocystis utricularis
Munida gregaria	Aged detritus
Munida gregaria	Callophyllis pinnata
Munida gregaria	Campylonotus vagans
Munida gregaria	Ceramium diaphanum
Munida gregaria	Enteromorpha sp.
Munida gregaria	Fresh detritus
Munida gregaria	Fresh detritus
Munida gregaria	Isopoda
Munida gregaria	Macrocystis pyrifera
Munida gregaria	Munida gregaria
Munida gregaria	Nothogenia fastigiata
Munida gregaria	Patagonotothen tessellata
Munida gregaria	Phytoplankton
Munida gregaria	Polychaeta
Munida gregaria	Scytothamnus fasciculatus
Munida gregaria	Ulva rigida
Munida gregaria	Zooplankton
Mytilus edulis	Fresh detritus
Mytilus edulis	Fresh detritus
Mytilus edulis	Phytoplankton
Mytilus edulis	Phytoplankton
Mytilus edulis	Zooplankton
Myxine glutinosa	Amphipoda
Myxine glutinosa	Myxine glutinosa
Myxine glutinosa	Necromass
Myxine glutinosa	Nemertea
Myxine glutinosa	Polychaeta
Nacella deaurata	Adenocystis utricularis
Nacella deaurata	Adenocystis utricularis
Nacella deaurata	Callophyllis pinnata
Nacella deaurata	Ceramium diaphanum
Nacella deaurata	Enteromorpha sp.
Nacella deaurata	Fresh detritus
Nacella deaurata	Laevilitorina caliginosa
Nacella deaurata	Laevilitorina caliginosa
Nacella deaurata	Macrocystis pyrifera
Nacella deaurata	Margarella violacea
Nacella deaurata	Mytilus edulis
Nacella deaurata	Nothogenia fastigiata
Nacella deaurata	Phytoplankton
Nacella deaurata	Scytothamnus fasciculatus
Nacella deaurata	Ulva rigida
Nacella deaurata	Ulva rigida
Nacella deaurata	Zooplankton
Nacella magellanica	Adenocystis utricularis
Nacella magellanica	Ceramium diaphanum
Nacella magellanica	Laevilitorina caliginosa
Nacella magellanica	Laevilitorina caliginosa
Nacella magellanica	Macrocystis pyrifera
Nacella magellanica	Margarella violacea
Nacella magellanica	Mytilus edulis
Nacella magellanica	Nothogenia fastigiata
Nacella magellanica	Notochthamalus scabrosus
Nacella magellanica	Phytoplankton
Nacella magellanica	Ulva rigida
Nacella magellanica	Zooplankton
Nacella mytilina	Adenocystis utricularis
Nacella mytilina	Ceramium diaphanum
Nacella mytilina	Laevilitorina caliginosa
Nacella mytilina	Macrocystis pyrifera
Nacella mytilina	Margarella violacea
Nacella mytilina	Mytilus edulis
Nacella mytilina	Nothogenia fastigiata
Nacella mytilina	Phytoplankton
Nacella mytilina	Ulva rigida
Nacella mytilina	Zooplankton
Nematoda	Aged detritus
Nematoda	Fresh detritus
Nematoda	Phytoplankton
Nemertea	Aulacomya atra
Nemertea	Fresh detritus
Nemertea	Halicarcinus planatus
Nemertea	Isopoda
Nemertea	Munida gregaria
Nemertea	Mytilus edulis
Nemertea	Nacella deaurata
Nemertea	Necromass
Nemertea	Notochthamalus scabrosus
Nemertea	Perumytilus purpuratus
Nemertea	Polyplacophora
Nemertea	Siphonaria lessoni
Nereididae 	Macrocystis pyrifera
Notobalanus flosculus	Fresh detritus
Notobalanus flosculus	Phytoplankton
Notochthamalus scabrosus	Fresh detritus
Notochthamalus scabrosus	Phytoplankton
Notochthamalus scabrosus	Zooplankton
Obelia sp.	Acartia tonsa 
Obelia sp.	Amphipoda
Obelia sp.	Ctenophora
Obelia sp.	Obelia sp.
Obelia sp.	Paracalanus parvus
Obelia sp.	Zooplankton
Odontesthes nigricans	Amphipoda
Odontesthes nigricans	Copepoda
Odontesthes nigricans	Euphausiacea
Odontesthes nigricans	Polychaeta
Oithona similis 	Phytoplankton
Oncaea curvata	Amphipoda
Oncaea curvata	Copepoda
Oncaea curvata	Fresh detritus
Oncaea curvata	Phytoplankton
Oncaea curvata	Salpidae
Oncaea curvata	Zooplankton
Oncorhynchus tshawytscha	Austrolycus depressiceps
Oncorhynchus tshawytscha	Eleginops maclovinus
Oncorhynchus tshawytscha	Galaxias maculatus
Oncorhynchus tshawytscha	Harpagifer bispinis
Oncorhynchus tshawytscha	Lithodes santolla
Oncorhynchus tshawytscha	Odontesthes nigricans
Oncorhynchus tshawytscha	Paralomis granulosa
Oncorhynchus tshawytscha	Paranotothenia magellanica
Oncorhynchus tshawytscha	Patagonotothen cornucola
Oncorhynchus tshawytscha	Patagonotothen sima
Oncorhynchus tshawytscha	Patagonotothen tessellata
Oncorhynchus tshawytscha	Sprattus fuegensis
Ophiophragmus chilensis	Fresh detritus
Ophiophragmus chilensis	Necromass
Orbiniidae	Aged detritus
Pagurus comptus	Fresh detritus
Pagurus comptus	Necromass
Pagurus comptus	Phytoplankton
Pagurus comptus	Zooplankton
Pagurus forceps	Fresh detritus
Pagurus forceps	Phytoplankton
Pagurus forceps	Zooplankton
Pagurus sp.	Fresh detritus
Pagurus sp.	Necromass
Pagurus sp.	Phytoplankton
Pagurus sp.	Zooplankton
Paracalanus parvus	Phytoplankton
Paralomis granulosa	Macroalgae
Paralomis granulosa	Aulacomya atra
Paralomis granulosa	Fissurella picta
Paralomis granulosa	Fresh detritus
Paralomis granulosa	Hiatella arctica
Paralomis granulosa	Margarella violacea
Paralomis granulosa	Membranipora isabelleana
Paralomis granulosa	Munida gregaria
Paralomis granulosa	Mytilus edulis
Paralomis granulosa	Pseudechinus magellanicus
Paralomis granulosa	Zooplankton
Paranotothenia magellanica	Amphipoda
Paranotothenia magellanica	Bryozoa
Paranotothenia magellanica	Copepoda
Paranotothenia magellanica	Exosphaeroma gigas
Paranotothenia magellanica	Gaimardia trapesina
Paranotothenia magellanica	Harpagifer bispinis
Paranotothenia magellanica	Isopoda
Paranotothenia magellanica	Laevilitorina caliginosa
Paranotothenia magellanica	Munida gregaria
Paranotothenia magellanica	Paranotothenia magellanica
Paranotothenia magellanica	Polychaeta
Paranotothenia magellanica	Zooplankton
Pareuthria fuscata	Fresh detritus
Pareuthria fuscata	Necromass
Patagonotothen brevícauda brevicauda	Amphipoda
Patagonotothen brevícauda brevicauda	Ascidiacea
Patagonotothen brevícauda brevicauda	Copepoda
Patagonotothen brevícauda brevicauda	Patagonotothen cornucola
Patagonotothen brevícauda brevicauda	Polychaeta
Patagonotothen brevícauda brevicauda	Zooplankton
Patagonotothen cornucola	Amphipoda
Patagonotothen cornucola	Copepoda
Patagonotothen cornucola	Exosphaeroma gigas
Patagonotothen cornucola	Polychaeta
Patagonotothen cornucola	Zooplankton
Patagonotothen longipes ramsayi	Amphipoda
Patagonotothen longipes ramsayi	Ascidiacea
Patagonotothen longipes ramsayi	Campylonotus vagans
Patagonotothen longipes ramsayi	Copepoda
Patagonotothen longipes ramsayi	Ctenophora
Patagonotothen longipes ramsayi	Euphausiacea
Patagonotothen longipes ramsayi	Euphausiacea
Patagonotothen longipes ramsayi	Isopoda
Patagonotothen longipes ramsayi	Munida gregaria
Patagonotothen longipes ramsayi	Munida gregaria
Patagonotothen longipes ramsayi	Mytilus edulis
Patagonotothen longipes ramsayi	Pagurus sp.
Patagonotothen longipes ramsayi	Patagonotothen longipes ramsayi
Patagonotothen longipes ramsayi	Peltarion spinosulum
Patagonotothen longipes ramsayi	Polychaeta
Patagonotothen longipes ramsayi	Salpidae
Patagonotothen longipes ramsayi	Salpidae
Patagonotothen longipes ramsayi	Zooplankton
Patagonotothen sima	Amphipoda
Patagonotothen sima	Copepoda
Patagonotothen sima	Munida gregaria
Patagonotothen sima	Munida gregaria
Patagonotothen sima	Polychaeta
Patagonotothen tessellata	Amphipoda
Patagonotothen tessellata	Anasterias antarctica
Patagonotothen tessellata	Copepoda
Patagonotothen tessellata	Enteromorpha sp.
Patagonotothen tessellata	Exosphaeroma gigas
Patagonotothen tessellata	Halicarcinus planatus
Patagonotothen tessellata	Isopoda
Patagonotothen tessellata	Munida gregaria
Patagonotothen tessellata	Munida gregaria
Patagonotothen tessellata	Nacella deaurata
Patagonotothen tessellata	Nemertea
Patagonotothen tessellata	Polyplacophora
Patagonotothen tessellata	Siphonaria lessoni
Patagonotothen tessellata	Trophon geversianus
Patagonotothen tessellata	Ulva rigida
Patagonotothen tessellata	Xymenopsis muriciformis
Perumytilus purpuratus	Fresh detritus
Perumytilus purpuratus	Fresh detritus
Perumytilus purpuratus	Phytoplankton
Perumytilus purpuratus	Phytoplankton
Perumytilus purpuratus	Zooplankton
Plaxiphora sp.	Macrocystis pyrifera
Polychaeta	Fresh detritus
Polychaeta	Necromass
Polyplacophora	Adenocystis utricularis
Polyplacophora	Callophyllis pinnata
Polyplacophora	Ceramium diaphanum
Polyplacophora	Enteromorpha sp.
Polyplacophora	Fresh detritus
Polyplacophora	Macrocystis pyrifera
Polyplacophora	Nothogenia fastigiata
Polyplacophora	Scytothamnus fasciculatus
Polyplacophora	Ulva rigida
Porifera	Fresh detritus
Porifera	Phytoplankton
Priapulida	Nematoda
Priapulida	Phytoplankton
Priapulida	Polychaeta
Pseudechinus magellanicus	Amphipoda
Pseudechinus magellanicus	Ascidiacea
Pseudechinus magellanicus	Aulacomya atra
Pseudechinus magellanicus	Ceramium diaphanum
Pseudechinus magellanicus	Copepoda
Pseudechinus magellanicus	Exosphaeroma gigas
Pseudechinus magellanicus	Fresh detritus
Pseudechinus magellanicus	Halicarcinus planatus
Pseudechinus magellanicus	Macrocystis pyrifera
Pseudechinus magellanicus	Macrocystis pyrifera
Pseudechinus magellanicus	Membranipora isabelleana
Pseudechinus magellanicus	Mytilus edulis
Pseudechinus magellanicus	Perumytilus purpuratus
Pseudechinus magellanicus	Phytoplankton
Pseudechinus magellanicus	Porifera
Pseudechinus magellanicus	Serpulidae
Pseudechinus magellanicus	Serpulidae
Pseudechinus magellanicus	Ulva rigida
Pseudechinus magellanicus	Zooplankton
Salilota australis	Amphipoda
Salilota australis	Euphausiacea
Salilota australis	Isopoda
Salilota australis	Munida gregaria
Salilota australis	Patagonotothen brevícauda brevicauda
Salilota australis	Patagonotothen cornucola
Salilota australis	Patagonotothen longipes ramsayi
Salilota australis	Patagonotothen sima
Salilota australis	Patagonotothen tessellata
Salilota australis	Peltarion spinosulum
Salpidae	Aged detritus
Salpidae	Copepoda
Salpidae	Nereididae 
Salpidae	Phytoplankton
Salpidae	Zooplankton
Schroederichthys bivius	Amphipoda
Schroederichthys bivius	Amphipoda
Schroederichthys bivius	Bathyraja albomaculata
Schroederichthys bivius	Bathyraja brachyurops
Schroederichthys bivius	Campylonotus vagans
Schroederichthys bivius	Champsocephalus esox 
Schroederichthys bivius	Euphausiacea
Schroederichthys bivius	Eurypodius latreillii
Schroederichthys bivius	Isopoda
Schroederichthys bivius	Isopoda
Schroederichthys bivius	Munida gregaria
Schroederichthys bivius	Munida gregaria
Schroederichthys bivius	Necromass
Schroederichthys bivius	Patagonotothen brevícauda brevicauda
Schroederichthys bivius	Patagonotothen cornucola
Schroederichthys bivius	Patagonotothen longipes ramsayi
Schroederichthys bivius	Patagonotothen sima
Schroederichthys bivius	Patagonotothen tessellata
Schroederichthys bivius	Peltarion spinosulum
Schroederichthys bivius	Polychaeta
Schroederichthys bivius	Polychaeta
Schroederichthys bivius	Priapulida
Schroederichthys bivius	Priapulida
Schroederichthys bivius	Sprattus fuegensis
Siphonaria lessoni	Adenocystis utricularis
Siphonaria lessoni	Callophyllis pinnata
Siphonaria lessoni	Ceramium diaphanum
Siphonaria lessoni	Ceramium diaphanum
Siphonaria lessoni	Enteromorpha sp.
Siphonaria lessoni	Enteromorpha sp.
Siphonaria lessoni	Fresh detritus
Siphonaria lessoni	Macrocystis pyrifera
Siphonaria lessoni	Macrocystis pyrifera
Siphonaria lessoni	Nothogenia fastigiata
Siphonaria lessoni	Phytoplankton
Siphonaria lessoni	Scytothamnus fasciculatus
Siphonaria lessoni	Ulva rigida
Siphonaria lessoni	Ulva rigida
Spionidae	Aged detritus
Spionidae	Phytoplankton
Serpulidae	Aged detritus
Serpulidae	Phytoplankton
Sprattus fuegensis	Calanus australis
Sprattus fuegensis	Centropages brachiatus 
Sprattus fuegensis	Clausocalanus brevipes 
Sprattus fuegensis	Drepanopus forcipatus
Sprattus fuegensis	Zooplankton
Squalus acanthias	Amphipoda
Squalus acanthias	Aurelia aurita
Squalus acanthias	Ctenophora
Squalus acanthias	Isopoda
Squalus acanthias	Macruronus magellanicus
Squalus acanthias	Merluccius hubbsi
Squalus acanthias	Munida gregaria
Squalus acanthias	Myxine glutinosa
Squalus acanthias	Necromass
Squalus acanthias	Patagonotothen longipes ramsayi
Squalus acanthias	Peltarion spinosulum
Squalus acanthias	Polychaeta
Squalus acanthias	Salpidae
Squalus acanthias	Sprattus fuegensis
Stromateus brasiliensis	Copepoda
Stromateus brasiliensis	Ctenophora
Stromateus brasiliensis	Polychaeta
Stromateus brasiliensis	Salpidae
Tisbe sp.	Fresh detritus
Tisbe sp.	Phytoplankton
Trophon geversianus	Aulacomya atra
Trophon geversianus	Aulacomya atra
Trophon geversianus	Aulacomya atra
Trophon geversianus	Aulacomya atra
Trophon geversianus	Chthamalus sp.
Trophon geversianus	Eurhomalea exalbida
Trophon geversianus	Hiatella arctica
Trophon geversianus	Mytilus edulis
Trophon geversianus	Mytilus edulis
Trophon geversianus	Nacella deaurata
Trophon geversianus	Notochthamalus scabrosus
Trophon geversianus	Perumytilus purpuratus
Trophon geversianus	Perumytilus purpuratus
Trophon geversianus	Perumytilus purpuratus
